hash,id,time,timeDiff,device,filesizeGib,pattern,patternDetails,rate,threadRate,expRate,writePercent,writeMibs,readMibs,writes,reads,fdatasyncs,rmin,r10p,r20p,r25p,r30p,r40p,r50p,r60p,r70p,r75p,r80p,r85p,r90p,r92p5,r95p,r97p5,r99p,r99p5,r99p9,r99p99,r99p999,rmax,wmin,w10p,w20p,w25p,w30p,w40p,w50p,w60p,w70p,w75p,w80p,w85p,w90p,w92p5,w95p,w97p5,w99p,w99p5,w99p9,w99p99,w99p999,wmax,smin,s10p,s20p,s25p,s30p,s40p,s50p,s60p,s70p,s75p,s80p,s85p,s90p,s92p5,s95p,s97p5,s99p,s99p5,s99p9,s99p99,s99p999,smax
2024-08-12-14-24-46,6,20,20.000103,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,44.949768,0.449998,11517.640625,116.299400,0.000000,212,1704,2144,2323,2540,2912,3287,3652,4103,4361,4661,5036,5496,5847,6278,7009,7845,8304,9821,10098,10098,10136,409,2801,4089,4436,4737,5267,5729,6161,6632,6894,7196,7559,8037,8359,8787,9483,10281,10838,11958,13352,13937,14401,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,6,40,20.000004,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.449989,0.400000,11899.197266,115.049980,0.000000,386,1907,2349,2529,2726,3087,3424,3751,4108,4327,4576,4901,5290,5543,6055,6526,7486,8002,9563,10524,10524,10798,1121,3174,4498,4810,5069,5494,5862,6233,6644,6878,7147,7491,7961,8264,8687,9361,10120,10650,12022,13197,13810,13883,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,6,60,19.999992,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.300018,0.450000,11860.454102,117.350044,0.000000,821,1828,2401,2598,2811,3147,3469,3839,4208,4493,4782,5158,5635,5890,6327,7144,7952,8354,9851,9979,9979,10178,1220,2911,4388,4759,5066,5538,5927,6320,6773,7038,7344,7705,8180,8496,8917,9579,10393,11002,12281,13925,14879,15075,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,6,80,20.000004,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.649990,0.450000,11947.847656,117.699974,0.000000,444,1876,2381,2584,2776,3115,3441,3771,4191,4411,4663,4978,5379,5678,6086,6812,7514,8564,9687,9781,9781,10117,1364,3048,4439,4761,5021,5469,5866,6263,6697,6957,7256,7623,8081,8401,8807,9452,10253,10866,12139,13132,13389,13810,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,6,100,19.999992,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.450016,0.450000,11899.654297,122.800049,0.000000,563,1683,2259,2532,2758,3124,3420,3801,4173,4430,4698,5018,5468,5777,6147,6968,7739,8605,10446,10692,10692,11056,1175,2742,4351,4752,5051,5544,5958,6351,6795,7052,7354,7718,8188,8500,8913,9588,10384,11011,12259,13548,14100,14648,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,6,120,20.000000,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.049999,0.450000,11800.799805,123.150002,0.000000,671,1728,2312,2521,2715,3074,3410,3769,4213,4471,4788,5140,5556,5805,6179,6962,7666,8293,9120,9881,9881,12001,1311,2910,4355,4724,5008,5497,5919,6318,6758,7020,7327,7694,8181,8494,8914,9585,10422,11002,12354,14065,15086,15118,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,6,140,19.999992,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.300018,0.450000,11862.054688,126.550049,0.000000,751,1691,2302,2520,2731,3111,3494,3829,4238,4503,4815,5194,5618,5964,6376,7012,7940,8410,9522,10274,10274,10931,1179,2659,4251,4713,5045,5549,5968,6373,6823,7087,7391,7766,8259,8586,9019,9715,10513,11165,12541,14197,14599,15075,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,6,160,20.000015,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.199966,0.450000,11837.441406,119.699905,0.000000,651,1749,2293,2516,2707,3083,3430,3747,4167,4446,4762,5126,5575,5857,6306,6973,7759,8647,9990,11403,11403,11695,1320,2893,4383,4745,5022,5505,5928,6344,6819,7094,7406,7785,8269,8601,9032,9705,10549,11152,12550,15002,15645,16038,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,6,180,19.999985,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,45.800034,0.450000,11729.758789,119.300095,0.000000,771,1796,2335,2566,2782,3125,3446,3739,4143,4403,4698,5109,5581,5910,6311,7107,8020,8582,9346,9666,9666,10501,1185,2836,4435,4819,5107,5572,5983,6390,6832,7085,7377,7735,8217,8537,8968,9600,10378,10916,12000,13081,13672,14043,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-12-14-24-46,6,200,20.000000,/dev/nvme1n1,3492,uniform-shuffle,"",200000.000000,24000.000000,1,0.990000,46.650002,0.450000,11942.450195,120.500000,0.000000,386,1722,2230,2508,2718,3069,3415,3730,4137,4428,4723,5047,5384,5769,6210,6828,7708,8190,8876,10702,10702,10889,1288,2695,4168,4660,5014,5544,5974,6378,6822,7073,7361,7721,8193,8512,8949,9655,10456,11109,12373,13783,15721,16236,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
